app.js 33ms (unchanged)
src/upgrades/1.7.4/fix_user_topics_per_category.js 1ms (unchanged)
src/upgrades/1.7.4/global_upload_privilege.js 0ms (unchanged)
src/upgrades/1.7.4/rename_min_reputation_settings.js 0ms (unchanged)
src/upgrades/1.7.4/vote_privilege.js 0ms (unchanged)
src/upgrades/1.7.6/flatten_navigation_data.js 1ms (unchanged)
src/upgrades/1.7.6/notification_types.js 1ms (unchanged)
src/upgrades/1.7.6/update_min_pass_strength.js 0ms (unchanged)
src/upgrades/1.8.0/give_signature_privileges.js 1ms (unchanged)
src/upgrades/1.8.0/give_spiders_privileges.js 1ms (unchanged)
src/upgrades/1.8.1/diffs_zset_to_listhash.js 1ms (unchanged)
src/upgrades/1.9.0/refresh_post_upload_associations.js 0ms (unchanged)
src/upgrades/2.8.7/fix-email-sorted-sets.js 1ms (unchanged)
src/upgrades/3.0.0/reset_bootswatch_skin.js 1ms (unchanged)
src/upgrades/3.1.0/reset_user_bootswatch_skin.js 1ms (unchanged)
src/upgrades/3.2.0/fix_username_zsets.js 0ms (unchanged)
src/upgrades/3.2.0/migrate_api_tokens.js 0ms (unchanged)
src/upgrades/3.2.0/migrate_post_sharing.js 1ms (unchanged)
src/upgrades/3.3.0/chat_message_mids.js 1ms (unchanged)
src/upgrades/3.3.0/chat_room_online_zset.js 0ms (unchanged)
src/upgrades/3.3.0/chat_room_owners.js 1ms (unchanged)
src/upgrades/3.3.0/chat_room_refactor.js 2ms (unchanged)
src/upgrades/3.3.0/save_rooms_zset.js 1ms (unchanged)
src/upgrades/3.5.0/notification_translations.js 1ms (unchanged)
src/upgrades/3.6.0/category_tracking.js 0ms (unchanged)
src/upgrades/3.6.0/chat_message_counts.js 1ms (unchanged)
src/upgrades/3.6.0/rename_newbie_config.js 0ms (unchanged)
src/upgrades/3.6.0/rewards_zsets.js 0ms (unchanged)
src/upgrades/3.7.0/category-read-by-uid.js 0ms (unchanged)
src/upgrades/3.7.0/category-tid-created-zset.js 0ms (unchanged)
src/upgrades/3.7.0/change-category-sort-settings.js 1ms (unchanged)
src/upgrades/3.8.0/events-uid-filter.js 1ms (unchanged)
src/upgrades/3.8.0/remove-privilege-slugs.js 1ms (unchanged)
src/upgrades/3.8.0/user-upload-folders.js 2ms (unchanged)
src/upgrades/3.8.2/vote-visibility-config.js 0ms (unchanged)
src/upgrades/3.8.3/remove-session-uuid.js 0ms (unchanged)
src/upgrades/3.8.3/topic-event-ids.js 0ms (unchanged)
src/upgrades/3.8.4/downvote-visibility-config.js 1ms (unchanged)
src/user/admin.js 2ms (unchanged)
src/user/approval.js 3ms (unchanged)
src/user/auth.js 4ms (unchanged)
src/user/bans.js 3ms (unchanged)
src/user/blocks.js 2ms (unchanged)
src/user/categories.js 1ms (unchanged)
src/user/create.js 3ms (unchanged)
src/user/data.js 5ms (unchanged)
src/user/delete.js 5ms (unchanged)
src/user/digest.js 5ms (unchanged)
src/user/email.js 4ms (unchanged)
src/user/follow.js 2ms (unchanged)
src/user/index.js 4ms (unchanged)
src/user/info.js 4ms (unchanged)
src/user/interstitials.js 3ms (unchanged)
src/user/invite.js 3ms (unchanged)
src/user/jobs.js 1ms (unchanged)
src/user/jobs/export-posts.js 1ms (unchanged)
src/user/jobs/export-profile.js 3ms (unchanged)
src/user/jobs/export-uploads.js 1ms (unchanged)
src/user/notifications.js 4ms (unchanged)
src/user/online.js 1ms (unchanged)
src/user/password.js 0ms (unchanged)
src/user/picture.js 3ms (unchanged)
src/user/posts.js 3ms (unchanged)
src/user/profile.js 7ms (unchanged)
src/user/reset.js 2ms (unchanged)
src/user/search.js 3ms (unchanged)
src/user/settings.js 4ms (unchanged)
src/user/topics.js 1ms (unchanged)
src/user/uploads.js 3ms (unchanged)
src/utils.js 2ms (unchanged)
src/webserver.js 9ms (unchanged)
src/widgets/admin.js 1ms (unchanged)
src/widgets/index.js 5ms (unchanged)
test/api.js 15ms (unchanged)
test/authentication.js 11ms (unchanged)
test/batch.js 2ms (unchanged)
test/blacklist.js 2ms (unchanged)
test/build.js 4ms (unchanged)
test/categories.js 14ms (unchanged)
test/controllers-admin.js 18ms (unchanged)
test/controllers.js 54ms (unchanged)
test/coverPhoto.js 1ms (unchanged)
test/database.js 1ms (unchanged)
test/database/hash.js 12ms (unchanged)
test/database/keys.js 5ms (unchanged)
test/database/list.js 4ms (unchanged)
test/database/sets.js 5ms (unchanged)
